Country or Area,Year,Investment (USD Million)
Panama,2020,243.48782411000002
Papua New Guinea,2016,32.338544832
Papua New Guinea,2020,0.034745344
Paraguay,2016,0.455989461
Paraguay,2020,390.413172251
Peru,2016,102.305791942
Peru,2020,1.921012836
Philippines,2016,98.888376661
Philippines,2020,0.813097966
Poland,2020,173.83262668
Portugal,2016,0.264830822
Portugal,2020,8.845043262999999
Qatar,2020,160.0377526
Republic of Moldova,2016,0.221005881
Republic of Moldova,2020,0.08416546999999999
North Macedonia,2016,0.00709091
North Macedonia,2020,21.348565093
Residual/unallocated ODA: Eastern and South-eastern Asia,2016,80.645899438
Residual/unallocated ODA: Eastern and South-eastern Asia,2020,2.095895925
Residual/unallocated ODA: Latin America and the Caribbean,2016,160.012965851
Residual/unallocated ODA: Latin America and the Caribbean,2020,36.685108722
Residual/unallocated ODA: Northern America and Europe,2016,18.538521265
Residual/unallocated ODA: Northern America and Europe,2020,8.988564306
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,2016,0.21125391
Residual/unallocated ODA: Oceania excl. Aus. and N. Zealand,2020,0.011117043
Residual/unallocated ODA: Sub-Saharan Africa,2016,816.588928488
Residual/unallocated ODA: Sub-Saharan Africa,2020,216.802321818
Residual/unallocated ODA: Western Asia and Northern Africa,2016,10.625786386
Rwanda,2016,41.627473327000004
Rwanda,2020,269.195999519
Saint Vincent and the Grenadines,2016,31.692945562000002
Samoa,2016,0.003448138
Sao Tome and Principe,2016,0.309997742
Sao Tome and Principe,2020,13.55945541
Senegal,2016,319.871993007
Senegal,2020,102.95582862799999
Serbia,2016,17.975730753
Serbia,2020,0.240874196
Seychelles,2016,0.672226936
Sierra Leone,2016,29.27798271
Sierra Leone,2020,1.43758284
Solomon Islands,2016,7.104953371000001
Solomon Islands,2020,0.485607887
Somalia,2016,0.801958198
Somalia,2020,0.106158466
South Africa,2016,201.750714176
South Africa,2020,6.810289966
South Sudan,2016,0.029104585
Spain,2016,4.250005025
Spain,2020,69.242377589
Sri Lanka,2016,61.258181745
Sri Lanka,2020,0.070547491
State of Palestine,2016,2.8914134049999998
State of Palestine,2020,10.554822602
Sudan,2016,0.043544313
Sudan,2020,18.065787859
Suriname,2020,2.922190032
Sweden,2016,120.985993296
Tajikistan,2016,0.091624388
Tajikistan,2020,45.524324588999995
Thailand,2016,0.42032022199999997
Thailand,2020,53.163240967
Timor-Leste,2016,1.052568027
Timor-Leste,2020,0.000801159
Togo,2016,0.04955304
Togo,2020,16.508555155
Tonga,2016,2.9141744579999997
Tonga,2020,0.117688449
Trinidad and Tobago,2020,0.243482722
Tunisia,2016,45.635838284
Tunisia,2020,18.754106536
Turkmenistan,2016,0.079870421
Tuvalu,2020,0.048696544
Türkiye,2016,1364.149463857
Türkiye,2020,358.82969658499997
Uganda,2016,187.707992434
Uganda,2020,0.8487500750000001
Ukraine,2016,244.136102357
Ukraine,2020,39.639964344
United Kingdom,2016,625.9198567349999
United Republic of Tanzania,2016,152.199734915
United Republic of Tanzania,2020,16.263965058
"Unspecified, developing countries",2016,1005.450707498
"Unspecified, developing countries",2020,166.118117732
Uruguay,2016,69.862015895
Uzbekistan,2016,0.693816182
Uzbekistan,2020,209.545683655
Vanuatu,2020,0.110953549
Viet Nam,2016,301.76669873599997
Viet Nam,2020,161.27120150000002
Yemen,2020,1.0488303239999999
Zambia,2016,109.513738504
Zambia,2020,12.340080033
Zimbabwe,2016,0.032496145000000004
Zimbabwe,2020,0.011642989
